date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:42	1590/1590	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22636-59dff76ecb940%22	https://www.northerncam.co.uk/uploads/default_sub/icons/icon-1.svg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/icon-1.svg	(from https://www.northerncam.co.uk/pages/customer-care)
15:50:42	1043/1043	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22413-59dff76a06e00%22	https://www.northerncam.co.uk/uploads/default_sub/icons/icon-pound.svg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/icon-pound.svg	(from https://www.northerncam.co.uk/pages/customer-care)
15:50:42	3188/3188	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c74-59dff76ecb940%22	https://www.northerncam.co.uk/uploads/default_sub/icons/icon-2.svg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/icon-2.svg	(from https://www.northerncam.co.uk/pages/customer-care)
15:50:42	12054499/12054499	---M--	200	added ('OK')	image/jpeg	etag:%22b7efe3-59dff67d84000%22	https://www.northerncam.co.uk/uploads/default_sub/content/114.jpg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/content/114.jpg	(from https://www.northerncam.co.uk/pages/customer-care)
15:50:43	2271/2271	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228df-59dff76ecb940%22	https://www.northerncam.co.uk/uploads/default_sub/icons/icon-3.svg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/icon-3.svg	(from https://www.northerncam.co.uk/pages/customer-care)
15:50:43	155440/155440	---M--	200	added ('OK')	image/jpeg	etag:%2225f30-59dff68248b40%22	https://www.northerncam.co.uk/uploads/default_sub/content/91_1.jpg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/content/91_1.jpg	(from https://www.northerncam.co.uk/pages/quality)
15:50:44	690666/690666	---M--	200	added ('OK')	image/jpeg	etag:%22a89ea-6102d39cf6335%22	https://www.northerncam.co.uk/uploads/9001%20CMYK%20White_1.jpg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/9001%20CMYK%20White_1.jpg	(from https://www.northerncam.co.uk/pages/quality)
15:50:44	621471/621471	---M--	200	added ('OK')	application/pdf	etag:%2297b9f-631a4aed7b3e9%22	https://www.northerncam.co.uk/uploads/ISO%2090012015%20Certificate-%20Current.pdf	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/ISO%2090012015%20Certificate-%20Current.pdf	(from https://www.northerncam.co.uk/pages/quality)
15:50:44	309413/309413	---M--	200	added ('OK')	image/jpeg	etag:%224b8a5-59dfbd3c7ebc0%22	https://www.northerncam.co.uk/images/default/content/contact-banner.jpg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/content/contact-banner.jpg	(from https://www.northerncam.co.uk/pages/contact)
15:50:45	377083/377083	---M--	200	added ('OK')	image/jpeg	etag:%225c0fb-59dff71249f00%22	https://www.northerncam.co.uk/uploads/default_sub/content/policies.jpg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/content/policies.jpg	(from https://www.northerncam.co.uk/pages/anti-slavery-policy)
15:50:45	432072/432072	---M--	200	added ('OK')	image/jpeg	etag:%22697c8-59dff7386f900%22	https://www.northerncam.co.uk/uploads/default_sub/content/site%20map.jpg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/content/site%20map.jpg	(from https://www.northerncam.co.uk/pages/site-map)
